objectid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,format,language,rights,rightsstatement,display_template,image_alt_text,object_transcript,filename,object_location,image_small,image_thumb
ggg_kandyclocktower,Kandy Clocktower,Crystal Baines,2022-07-09,July 9 Mass Gathering in Kandy,"Arts and culture--Performing arts; banner; park; Kandy Gotagogama; Kandy; clocktower
",Kandy; Clocktower,7.292996276,80.63542309,"Personal Collection, Crystal Baines",ggg_kandyclocktower,image/jpeg,eng;sin,In Copyright - Educational Use Permitted. For more information crystalbaines.ails@gmail.com,,image,,,ggg_kandyclocktower.jpg,/objects/ggg_kandyclocktower.jpg,/objects/small/ggg_kandyclocktower_sm.jpg,/objects/thumbs/ggg_kandyclocktower_th.jpg
ggg_kandyhospital,Hospital Staff Kandy,Crystal Baines,2022-07-09,Kandy General Hospital Staff,"Arts and culture--Performing arts; staff; hospital; park; Kandy Gotagogama; Kandy
",Kandy,7.292996276,80.63542309,"Personal Collection, Crystal Baines",ggg_kandyhospital,image/jpeg,eng;sin,In Copyright - Educational Use Permitted. For more information crystalbaines.ails@gmail.com,,image,,,ggg_kandyhospital.jpg,/objects/ggg_kandyhospital.jpg,/objects/small/ggg_kandyhospital_sm.jpg,/objects/thumbs/ggg_kandyhospital_th.jpg
ggg_kandymuslims,Crowds in Kandy,Crystal Baines,2022-07-09,July 9 Crowds in Kandy,"Arts and culture--Performing arts; banner; park; Kandy Gotagogama; Kandy
",Kandy,7.292996276,80.63542309,"Personal Collection, Crystal Baines",ggg_kandymuslims,image/jpeg,eng;sin,In Copyright - Educational Use Permitted. For more information crystalbaines.ails@gmail.com,,image,,,ggg_kandymuslims.jpg,/objects/ggg_kandymuslims.jpg,/objects/small/ggg_kandymuslims_sm.jpg,/objects/thumbs/ggg_kandymuslims_th.jpg
ggg_kandyratwatte,Ratwatte Statue Kandy,Crystal Baines,2022-07-09,Anuruddha Ratwatte Statue: The Main Tent Support of Gotagogama Kandy,"Arts and culture--Performing arts; Ratwatte; statue; park; Kandy Gotagogama; Kandy
",Kandy,7.292996276,80.63542309,"Personal Collection, Crystal Baines",ggg_kandyratwatte,image/jpeg,eng;sin,In Copyright - Educational Use Permitted. For more information crystalbaines.ails@gmail.com,,image,,,ggg_kandyratwatte.jpg,/objects/ggg_kandyratwatte.jpg,/objects/small/ggg_kandyratwatte_sm.jpg,/objects/thumbs/ggg_kandyratwatte_th.jpg
ggg_orangeart,Art Work at Gotagogama,Crystal Baines,2022-04-30,Gotagogama Art Work,"Arts and culture--Performing arts; creative; paintings; art work
",Colombo;Galle Face Green,6.924852903,79.84497474,"Personal Collection, Crystal Baines",ggg_orangeart,image/jpeg,eng;sin,In Copyright - Educational Use Permitted. For more information crystalbaines.ails@gmail.com,,image,,,ggg_orangeart.jpg,/objects/ggg_orangeart.jpg,/objects/small/ggg_orangeart_sm.jpg,/objects/thumbs/ggg_orangeart_th.jpg
ggg_ourposters,Our Posters,Crystal Baines,2022-04-30,Our Posters,"Arts and culture--Performing arts; posters; protest; unity
",Colombo;Galle Face Green,6.924852903,79.84497474,"Personal Collection, Crystal Baines",ggg_ourposters,image/jpeg,eng;sin,In Copyright - Educational Use Permitted. For more information crystalbaines.ails@gmail.com,,image,,,ggg_ourposters.jpg,/objects/ggg_ourposters.jpg,/objects/small/ggg_ourposters_sm.jpg,/objects/thumbs/ggg_ourposters_th.jpg
ggg_protestart,Art at Protest Site,Crystal Baines,2022,Protest Art,"Arts and culture--Performing arts; creative; art work; paintings
",Colombo;Galle Face Green,6.924852903,79.84497474,"Personal Collection, Crystal Baines",ggg_protestart,image/jpeg,eng;sin,In Copyright - Educational Use Permitted. For more information crystalbaines.ails@gmail.com,,image,,,ggg_protestart.jpg,/objects/ggg_protestart.jpg,/objects/small/ggg_protestart_sm.jpg,/objects/thumbs/ggg_protestart_th.jpg
ggg_protestgraffiti,Protest Graffiti at Gotagogama,Crystal Baines,2022-04-30,Protests Graffiti,"Arts and culture--Performing arts; creative; art work; paintings; grafitti; protest; dissent
",Colombo;Galle Face Green,6.924852903,79.84497474,"Personal Collection, Crystal Baines",ggg_protestgraffiti,image/jpeg,eng;sin,In Copyright - Educational Use Permitted. For more information crystalbaines.ails@gmail.com,,image,,,ggg_protestgraffiti.jpg,/objects/ggg_protestgraffiti.jpg,/objects/small/ggg_protestgraffiti_sm.jpg,/objects/thumbs/ggg_protestgraffiti_th.jpg
interfaith_marlon,Interfaith Gatherings were a common site,Marlon Ariyasinghe,2022,Interfaith Gathering at Gotagogama,"Arts and culture--Performing arts; clergy; interfaith
",Colombo;Galle Face Green,6.924852903,79.84497474,"Personal Collection, Marlon Ariyasinghe",interfaith_marlon,image/jpeg,eng;sin,In Copyright - Educational Use Permitted. For more information crystalbaines.ails@gmail.com,,image,,,interfaith_marlon.jpg,/objects/interfaith_marlon.jpg,/objects/small/interfaith_marlon_sm.jpg,/objects/thumbs/interfaith_marlon_th.jpg
ggg_roarvideo,How Sri Lanka Ousted a President,ROAR Media,2022,An brief introduction to the people's uprising in Sri Lanka,"Arts and culture--Performing arts; democracy; economic crisis; short documentary
",Colombo;Galle Face Green,6.924852903,79.84497474,ROAR LK YouTube,ggg_roarvideo,video/youtube,eng,In Copyright - Educational Use Permitted. ,,video,,,,https://www.youtube.com/watch?v=JHN9B3HG9i0,,https://img.youtube.com/vi/JHN9B3HG9i0/hqdefault.jpg
